population,men,women,white,black,hispanic,asian,native,average_income,poverty,employed,unemployed,winning_party
179957.0,51.1,48.9,11.3,2.3,83.4,1.3,0.6,44779.0,23.8,33.21,16.0,1
18195.0,50.41,49.59,63.5,0.9,21.4,1.5,10.8,51500.0,10.2,45.48,5.2,2
18195.0,50.41,49.59,63.5,0.9,21.4,1.5,10.8,51500.0,10.2,45.48,5.2,1
878744.0,51.25,48.75,35.4,5.1,52.2,4.5,0.5,50826.0,22.6,38.2,10.9,2
150183.0,55.25,44.75,33.1,5.9,53.7,3.6,0.8,49742.0,20.9,35.4,9.7,2
64095.0,49.6,50.4,71.7,2.1,19.4,1.4,3.2,40446.0,22.8,35.4,11.2,2
64095.0,49.6,50.4,71.7,2.1,19.4,1.4,3.2,40446.0,22.8,35.4,11.2,1
31470.0,66.05,33.95,66.1,8.6,18.5,1.5,2.9,54083.0,14.6,28.76,7.5,2
10105722.0,49.28,50.72,26.5,7.9,48.4,14.3,0.2,61015.0,17.0,47.56,7.8,2
10105722.0,49.28,50.72,26.5,7.9,48.4,14.3,0.2,61015.0,17.0,47.56,7.8,1
1629615.0,49.07,50.93,32.2,10.7,22.5,28.7,0.3,85743.0,11.3,50.71,6.0,2
1629615.0,49.07,50.93,32.2,10.7,22.5,28.7,0.3,85743.0,11.3,50.71,6.0,1
154440.0,48.29,51.71,35.1,3.1,56.9,2.0,1.1,48210.0,22.1,36.31,8.3,2
260814.0,48.86,51.14,71.5,2.1,15.9,5.7,0.1,104703.0,8.1,50.06,4.5,2
260814.0,48.86,51.14,71.5,2.1,15.9,5.7,0.1,104703.0,8.1,50.06,4.5,1
17658.0,50.19,49.81,81.0,1.2,10.6,1.0,2.4,51385.0,15.1,39.69,10.0,2
87497.0,49.91,50.09,65.9,0.6,24.5,1.7,3.3,46528.0,19.1,42.38,10.4,2
87497.0,49.91,50.09,65.9,0.6,24.5,1.7,3.3,46528.0,19.1,42.38,10.4,1
267390.0,50.5,49.5,28.8,3.0,58.2,7.3,0.3,46338.0,23.3,37.03,14.6,2
267390.0,50.5,49.5,28.8,3.0,58.2,7.3,0.3,46338.0,23.3,37.03,14.6,1
9017.0,51.67,48.33,78.0,0.7,14.6,1.1,4.0,39296.0,18.1,35.83,7.5,2
14058.0,52.87,47.13,66.1,0.4,27.1,2.0,2.2,60595.0,9.9,55.94,3.6,2
14058.0,52.87,47.13,66.1,0.4,27.1,2.0,2.2,60595.0,9.9,55.94,3.6,1
433168.0,51.02,48.98,30.6,2.5,57.9,5.6,0.2,63249.0,14.7,42.12,6.0,2
433168.0,51.02,48.98,30.6,2.5,57.9,5.6,0.2,63249.0,14.7,42.12,6.0,1
141005.0,49.86,50.14,53.2,2.0,33.7,7.8,0.3,79637.0,8.2,50.43,5.4,2
141005.0,49.86,50.14,53.2,2.0,33.7,7.8,0.3,79637.0,8.2,50.43,5.4,1
98838.0,49.3,50.7,85.4,0.5,9.2,1.1,0.7,60610.0,12.1,42.8,7.3,2
98838.0,49.3,50.7,85.4,0.5,9.2,1.1,0.7,60610.0,12.1,42.8,7.3,1
1203.0,55.2,44.8,64.6,1.5,9.7,0.7,20.6,63438.0,19.8,31.09,14.6,2
1203.0,55.2,44.8,64.6,1.5,9.7,0.7,20.6,63438.0,19.8,31.09,14.6,1
3155816.0,49.38,50.62,41.4,1.6,34.2,19.5,0.2,81851.0,12.1,49.46,5.8,2
3155816.0,49.38,50.62,41.4,1.6,34.2,19.5,0.2,81851.0,12.1,49.46,5.8,1
374985.0,48.81,51.19,73.8,1.4,13.6,6.8,0.3,80488.0,8.2,45.55,5.6,2
18724.0,50.37,49.63,83.5,0.9,8.5,0.8,1.8,50266.0,13.3,38.77,9.4,2
2355002.0,49.75,50.25,36.6,6.0,48.0,6.1,0.4,60807.0,15.6,41.56,9.9,2
2355002.0,49.75,50.25,36.6,6.0,48.0,6.1,0.4,60807.0,15.6,41.56,9.9,1
1495400.0,48.86,51.14,45.7,9.5,22.8,15.1,0.4,60239.0,16.7,44.59,8.8,2
1495400.0,48.86,51.14,45.7,9.5,22.8,15.1,0.4,60239.0,16.7,44.59,8.8,1
58671.0,49.78,50.22,35.6,0.7,58.9,2.7,0.3,80760.0,9.7,47.19,8.8,2
58671.0,49.78,50.22,35.6,0.7,58.9,2.7,0.3,80760.0,9.7,47.19,8.8,1
2121220.0,49.74,50.26,29.8,8.0,52.3,6.7,0.3,57156.0,18.2,41.0,9.9,2
2121220.0,49.74,50.26,29.8,8.0,52.3,6.7,0.3,57156.0,18.2,41.0,9.9,1
3283665.0,50.28,49.72,46.2,4.7,33.4,11.5,0.4,70588.0,13.3,46.78,7.1,2
3283665.0,50.28,49.72,46.2,4.7,33.4,11.5,0.4,70588.0,13.3,46.78,7.1,1
864263.0,50.98,49.02,40.8,5.1,15.3,33.9,0.2,96265.0,11.7,58.42,5.4,2
864263.0,50.98,49.02,40.8,5.1,15.3,33.9,0.2,96265.0,11.7,58.42,5.4,1
724153.0,49.75,50.25,33.2,6.7,40.8,14.8,0.2,57813.0,17.1,40.91,10.1,2
724153.0,49.75,50.25,33.2,6.7,40.8,14.8,0.2,57813.0,17.1,40.91,10.1,1
37306.0,53.62,46.38,79.3,2.0,13.2,1.5,0.7,60636.0,10.6,36.04,9.3,2
280119.0,50.76,49.24,69.4,1.8,22.2,3.6,0.4,67175.0,13.8,46.15,4.8,2
280119.0,50.76,49.24,69.4,1.8,22.2,3.6,0.4,67175.0,13.8,46.15,4.8,1
763450.0,49.27,50.73,39.9,2.3,24.9,27.2,0.1,105667.0,7.3,53.03,4.7,2
763450.0,49.27,50.73,39.9,2.3,24.9,27.2,0.1,105667.0,7.3,53.03,4.7,1
442996.0,50.1,49.9,45.3,1.7,44.8,5.2,0.3,68023.0,15.4,47.81,6.6,2
442996.0,50.1,49.9,45.3,1.7,44.8,5.2,0.3,68023.0,15.4,47.81,6.6,1
1911226.0,50.4,49.6,32.6,2.4,26.1,34.9,0.2,106761.0,8.6,50.61,5.7,2
1911226.0,50.4,49.6,32.6,2.4,26.1,34.9,0.2,106761.0,8.6,50.61,5.7,1
273263.0,49.64,50.36,57.8,0.8,33.3,4.4,0.2,73663.0,14.7,48.98,6.7,2
273263.0,49.64,50.36,57.8,0.8,33.3,4.4,0.2,73663.0,14.7,48.98,6.7,1
178919.0,49.05,50.95,80.4,1.1,9.6,2.9,2.2,47258.0,18.1,40.35,6.8,2
2885.0,51.58,48.42,87.0,0.1,10.1,0.0,1.0,44190.0,12.3,39.83,5.3,2
43530.0,49.86,50.14,77.2,1.5,12.0,1.6,2.9,40884.0,20.7,38.01,9.1,2
434981.0,49.67,50.33,39.0,13.8,25.8,14.8,0.3,72950.0,11.5,45.13,8.5,2
434981.0,49.67,50.33,39.0,13.8,25.8,14.8,0.3,72950.0,11.5,45.13,8.5,1
500943.0,48.98,51.02,63.8,1.4,26.4,3.9,0.5,71769.0,10.7,49.73,5.9,2
500943.0,48.98,51.02,63.8,1.4,26.4,3.9,0.5,71769.0,10.7,49.73,5.9,1
225207.0,49.55,50.45,72.9,1.5,15.7,4.4,0.7,46516.0,20.5,41.49,9.1,2
225207.0,49.55,50.45,72.9,1.5,15.7,4.4,0.7,46516.0,20.5,41.49,9.1,1
535684.0,49.44,50.56,43.4,2.5,45.0,5.4,0.4,54260.0,17.2,40.98,11.8,2
535684.0,49.44,50.56,43.4,2.5,45.0,5.4,0.4,54260.0,17.2,40.98,11.8,1
95583.0,49.81,50.19,47.3,1.8,30.2,15.1,0.7,54347.0,16.7,39.97,10.5,2
63247.0,49.73,50.27,69.2,0.6,24.2,1.4,1.5,42512.0,20.9,37.71,10.1,2
13037.0,50.65,49.35,82.8,0.8,7.2,1.1,4.3,36563.0,19.9,36.82,9.6,2
458809.0,50.02,49.98,29.5,1.3,63.6,3.2,0.7,44871.0,27.1,37.89,10.0,2
